balances,risks,drawdowns
50000,0.01,0
51000.0,0.01,0.0
52020.0,0.01,0.0
51499.8,0.01,0.0
50984.802,0.01,0.0
52004.498040000006,0.01,0.0
53044.58800080001,0.01,0.0
52514.14212079201,0.01,0.0
51989.00069958409,0.01,0.0
53028.78071357577,0.01,0.0
52498.49290644001,0.01,0.0
53548.462764568816,0.01,0.0
54619.43201986019,0.01,0.0
54073.23769966159,0.01,0.0
55154.70245365483,0.01,0.0
56257.79650272792,0.01,0.0
55695.21853770064,0.01,0.0
55138.26635232363,0.01,0.0
56241.031679370106,0.01,0.0
57365.85231295751,0.01,0.0
58513.16935921666,0.01,0.0
50000,0.01,0
49500.0,0.01,0.01
50490.0,0.01,0.01
51499.8,0.01,0.01
50984.802,0.01,0.01
52004.498040000006,0.01,0.01
53044.58800080001,0.01,0.01
54105.47976081601,0.01,0.01
53564.42496320785,0.01,0.01
53028.78071357577,0.01,0.01
52498.49290644001,0.01,0.01
53548.462764568816,0.01,0.01
53012.97813692313,0.01,0.01
52482.8483555539,0.01,0.01
51958.01987199836,0.01,0.01
52997.18026943833,0.01,0.01
52467.20846674395,0.01,0.01
53516.55263607883,0.01,0.01
54586.88368880041,0.01,0.01
55678.621362576414,0.01,0.01
56792.19378982794,0.01,0.01
50000,0.01,0
51000.0,0.01,0.0
52020.0,0.01,0.0
51499.8,0.01,0.0
52529.796,0.01,0.0
52004.49804,0.01,0.0
53044.588000799995,0.01,0.0
52514.14212079199,0.01,0.0
51989.000699584074,0.01,0.0
51469.110692588234,0.01,0.0
52498.49290644,0.01,0.0
53548.4627645688,0.01,0.0
54619.43201986018,0.01,0.0
55711.820660257385,0.01,0.0
56826.05707346253,0.01,0.0
57962.57821493178,0.01,0.0
59121.829779230415,0.01,0.0
60304.26637481502,0.01,0.0
61510.35170231132,0.01,0.0
62740.55873635755,0.01,0.0
63995.3699110847,0.01,0.0
50000,0.01,0
51000.0,0.01,0.0
52020.0,0.01,0.0
53060.4,0.01,0.0
54121.608,0.01,0.0
55204.04016,0.01,0.0
56308.120963199995,0.01,0.0
57434.283382464,0.01,0.0
56859.94054863936,0.01,0.0
56291.34114315297,0.01,0.0
55728.42773172144,0.01,0.0
55171.14345440422,0.01,0.0
54619.43201986018,0.01,0.0
54073.23769966158,0.01,0.0
55154.70245365481,0.01,0.0
56257.796502727906,0.01,0.0
55695.218537700624,0.01,0.0
56809.122908454636,0.01,0.0
